student_id,channel,months_enrolled,first8_attendance,sessions_per_week,p_leave_3mo,expected_remaining_months,value_at_risk
S00094,organic,2.0,0.843,1,0.231,13.0,425.41
S00982,walk_in,2.0,0.748,1,0.2308,13.0,425.41
S00785,organic,9.0,0.597,1,0.2297,13.1,425.4
S00406,paid,3.0,0.75,2,0.2294,13.1,425.4
S01053,paid,4.0,0.784,2,0.2316,13.0,425.4
S00060,paid,19.0,0.658,1,0.2292,13.1,425.4
S01240,organic,2.0,0.896,1,0.2329,12.9,425.38
S00242,paid,8.0,1.0,1,0.2278,13.2,425.38
S00133,organic,4.0,0.844,1,0.2336,12.8,425.37
S00729,organic,10.0,0.78,1,0.2335,12.9,425.37
S00232,referral,2.0,0.892,1,0.2347,12.8,425.34
S00003,organic,9.0,0.833,1,0.2348,12.8,425.34
S00266,walk_in,1.0,0.716,1,0.2258,13.3,425.33
S00480,organic,5.0,0.801,1,0.2259,13.3,425.33
S01026,referral,8.0,0.61,1,0.2255,13.3,425.32
S00137,paid,1.0,0.764,2,0.2352,12.8,425.32
S00167,paid,10.0,0.914,1,0.2355,12.7,425.31
S00900,organic,4.0,0.864,1,0.2253,13.3,425.31
S01185,referral,3.0,0.836,1,0.225,13.3,425.3
S01246,paid,4.0,1.0,1,0.2359,12.7,425.3
S00666,referral,1.0,0.828,1,0.2358,12.7,425.3
S00824,paid,1.0,0.721,2,0.2248,13.3,425.29
S00468,paid,6.0,0.504,2,0.2362,12.7,425.28
S00211,organic,5.0,0.841,1,0.2243,13.4,425.26
S00050,organic,1.0,0.806,1,0.2241,13.4,425.25
S00311,paid,12.0,0.822,1,0.2237,13.4,425.24
S00760,organic,1.0,0.728,2,0.2235,13.4,425.23
S00012,organic,6.0,0.916,1,0.2232,13.4,425.21
S01186,organic,8.0,0.827,1,0.2384,12.6,425.18
S01058,paid,14.0,0.893,1,0.2225,13.5,425.17
S01121,organic,6.0,0.881,1,0.2389,12.6,425.15
S00215,organic,3.0,0.89,1,0.2393,12.5,425.12
S00213,paid,8.0,0.933,1,0.2212,13.6,425.08
S00007,referral,1.0,0.831,1,0.2212,13.6,425.08
S00801,organic,4.0,0.856,1,0.2404,12.5,425.05
S00955,organic,2.0,0.841,1,0.2406,12.5,425.04
S01296,paid,7.0,0.997,1,0.2204,13.6,425.02
S00298,referral,3.0,0.601,1,0.2409,12.4,425.02
S00797,paid,7.0,0.88,1,0.2413,12.4,424.99
S00264,organic,1.0,0.717,1,0.2412,12.4,424.99
