month,calendar_month,seasonal_index,paid_leads,organic_leads,leads,trials,enrollments,paid_spend,active_students,monthly_churn,period,revenue,cost_per_lead,cost_per_enrolled,organic_share
2021-01,1,1.18,40.0,12.0,52.0,23.0,9.0,4163.98,92.0,0.059,before,28980.0,104.1,462.66,0.2308
2021-02,2,1.02,39.0,8.0,47.0,21.0,8.0,3927.9,94.0,0.0572,before,29610.0,100.72,490.99,0.1702
2021-03,3,0.96,36.0,9.0,45.0,20.0,8.0,4452.21,95.0,0.0547,before,29925.0,123.67,556.53,0.2
2021-04,4,0.92,30.0,9.0,39.0,17.0,7.0,4300.22,95.0,0.0568,before,29925.0,143.34,614.32,0.2308
2021-05,5,0.78,26.0,6.0,32.0,13.0,5.0,4598.43,93.0,0.0585,before,29295.0,176.86,919.69,0.1875
2021-06,6,0.55,18.0,5.0,23.0,10.0,4.0,4211.81,91.0,0.0591,before,28665.0,233.99,1052.95,0.2174
2021-07,7,0.72,26.0,6.0,32.0,14.0,5.0,4112.8,89.0,0.0583,before,28035.0,158.18,822.56,0.1875
2021-08,8,1.62,55.0,16.0,70.0,31.0,11.0,3926.4,93.0,0.0581,before,29295.0,71.39,356.95,0.2286
2021-09,9,1.55,56.0,13.0,70.0,30.0,12.0,4450.21,97.0,0.0588,before,30555.0,79.47,370.85,0.1857
2021-10,10,1.05,30.0,9.0,39.0,18.0,6.0,4685.64,97.0,0.0576,before,30555.0,156.19,780.94,0.2308
2021-11,11,0.88,34.0,8.0,42.0,19.0,7.0,4044.84,96.0,0.06,before,30240.0,118.97,577.83,0.1905
2021-12,12,0.62,21.0,5.0,26.0,12.0,4.0,4077.7,93.0,0.0583,before,29295.0,194.18,1019.42,0.1923
2022-01,1,1.18,43.0,11.0,54.0,24.0,9.0,4312.68,94.0,0.0585,before,29610.0,100.29,479.19,0.2037
2022-02,2,1.02,34.0,9.0,43.0,19.0,7.0,4043.06,94.0,0.0589,before,29610.0,118.91,577.58,0.2093
2022-03,3,0.96,32.0,9.0,41.0,18.0,7.0,4148.86,93.0,0.0562,before,29295.0,129.65,592.69,0.2195
2022-04,4,0.92,33.0,8.0,40.0,18.0,7.0,4133.88,93.0,0.0568,before,29295.0,125.27,590.55,0.2
2022-05,5,0.78,28.0,8.0,36.0,16.0,6.0,4236.28,91.0,0.0607,before,28665.0,151.3,706.05,0.2222
2022-06,6,0.55,18.0,5.0,24.0,10.0,4.0,4406.92,88.0,0.0586,before,27720.0,244.83,1101.73,0.2083
2022-07,7,0.72,24.0,6.0,31.0,13.0,5.0,4204.17,86.0,0.0575,before,27090.0,175.17,840.83,0.1935
2022-08,8,1.62,58.0,15.0,74.0,33.0,12.0,4373.67,89.0,0.0586,before,28035.0,75.41,364.47,0.2027
2022-09,9,1.55,49.0,16.0,64.0,27.0,10.0,4120.64,91.0,0.0572,before,28665.0,84.09,412.06,0.25
2022-10,10,1.05,31.0,11.0,42.0,19.0,7.0,4261.95,90.0,0.0585,before,28350.0,137.48,608.85,0.2619
2022-11,11,0.88,31.0,7.0,38.0,16.0,6.0,3795.88,89.0,0.0568,before,28035.0,122.45,632.65,0.1842
2022-12,12,0.62,20.0,6.0,26.0,11.0,4.0,3925.96,86.0,0.0585,before,27090.0,196.3,981.49,0.2308
2023-01,1,1.18,30.0,21.0,50.0,23.0,10.0,3806.62,87.0,0.0503,after,27405.0,126.89,380.66,0.42
2023-02,2,1.02,25.0,25.0,50.0,24.0,10.0,3066.35,89.0,0.0494,after,28035.0,122.65,306.64,0.5
2023-03,3,0.96,21.0,29.0,50.0,25.0,11.0,2693.5,92.0,0.0416,after,28980.0,128.26,244.86,0.58
2023-04,4,0.92,16.0,42.0,58.0,29.0,14.0,2151.25,98.0,0.0352,after,30870.0,134.45,153.66,0.7241
2023-05,5,0.78,13.0,28.0,41.0,21.0,10.0,2224.96,100.0,0.0368,after,31500.0,171.15,222.5,0.6829
2023-06,6,0.55,10.0,24.0,34.0,17.0,8.0,2176.72,101.0,0.0366,after,31815.0,217.67,272.09,0.7059
2023-07,7,0.72,15.0,33.0,48.0,26.0,13.0,2196.11,105.0,0.0372,after,33075.0,146.41,168.93,0.6875
2023-08,8,1.62,30.0,57.0,87.0,45.0,23.0,2089.45,115.0,0.0357,after,36225.0,69.65,90.85,0.6552
2023-09,9,1.55,27.0,62.0,89.0,45.0,22.0,2034.01,123.0,0.0374,after,38745.0,75.33,92.46,0.6966
2023-10,10,1.05,21.0,38.0,59.0,30.0,15.0,2030.87,126.0,0.041,after,39690.0,96.71,135.39,0.6441
2023-11,11,0.88,18.0,37.0,55.0,27.0,14.0,2053.88,128.0,0.0356,after,40320.0,114.1,146.71,0.6727
2023-12,12,0.62,11.0,29.0,40.0,22.0,11.0,1993.23,129.0,0.0374,after,40635.0,181.2,181.2,0.725
2024-01,1,1.18,24.0,57.0,81.0,40.0,20.0,2048.27,134.0,0.0367,after,42210.0,85.34,102.41,0.7037
2024-02,2,1.02,21.0,35.0,56.0,30.0,14.0,2091.25,136.0,0.0372,after,42840.0,99.58,149.38,0.625
2024-03,3,0.96,18.0,37.0,55.0,29.0,15.0,2123.78,138.0,0.035,after,43470.0,117.99,141.59,0.6727
2024-04,4,0.92,16.0,40.0,56.0,28.0,15.0,2067.97,139.0,0.0357,after,43785.0,129.25,137.86,0.7143
2024-05,5,0.78,15.0,37.0,52.0,27.0,14.0,1918.21,139.0,0.0375,after,43785.0,127.88,137.02,0.7115
2024-06,6,0.55,11.0,23.0,34.0,18.0,9.0,2093.17,137.0,0.037,after,43155.0,190.29,232.57,0.6765
2024-07,7,0.72,15.0,28.0,43.0,22.0,11.0,2121.3,135.0,0.0388,after,42525.0,141.42,192.85,0.6512
2024-08,8,1.62,27.0,68.0,95.0,50.0,25.0,2202.48,142.0,0.0362,after,44730.0,81.57,88.1,0.7158
2024-09,9,1.55,28.0,63.0,91.0,49.0,24.0,2154.61,147.0,0.0372,after,46305.0,76.95,89.78,0.6923
2024-10,10,1.05,18.0,42.0,61.0,32.0,15.0,2039.18,146.0,0.0402,after,45990.0,113.29,135.95,0.6885
2024-11,11,0.88,14.0,34.0,48.0,25.0,13.0,2031.6,144.0,0.0362,after,45360.0,145.11,156.28,0.7083
2024-12,12,0.62,12.0,26.0,38.0,20.0,9.0,2290.0,141.0,0.036,after,44415.0,190.83,254.44,0.6842
2025-01,1,1.18,23.0,50.0,73.0,39.0,19.0,2171.5,142.0,0.037,after,44730.0,94.41,114.29,0.6849
2025-02,2,1.02,18.0,41.0,60.0,30.0,15.0,2273.07,141.0,0.037,after,44415.0,126.28,151.54,0.6833
2025-03,3,0.96,21.0,39.0,59.0,31.0,15.0,2301.23,140.0,0.0379,after,44100.0,109.58,153.42,0.661
2025-04,4,0.92,19.0,33.0,52.0,27.0,14.0,2022.69,138.0,0.0371,after,43470.0,106.46,144.48,0.6346
2025-05,5,0.78,16.0,31.0,46.0,23.0,12.0,2136.41,135.0,0.0362,after,42525.0,133.53,178.03,0.6739
2025-06,6,0.55,11.0,25.0,36.0,19.0,9.0,2143.3,131.0,0.0372,after,41265.0,194.85,238.14,0.6944
