student_id,enroll_month,channel,grade_band,sessions_per_week,assessment_gap,first8_attendance,tenure_months,churned,cac,revenue_to_date
S00000,20,paid,middle,2,2.3,0.832,3.91,1,495,1231.65
S00001,4,walk_in,elementary,2,2.4,0.885,0.55,1,45,173.25
S00002,6,referral,high,2,0.7,0.885,8.28,1,60,2608.2
S00003,21,organic,high,1,2.0,0.833,9.0,0,95,2835.0
S00004,21,organic,college,1,2.3,1.0,9.0,0,95,2835.0
S00005,15,referral,high,1,1.9,0.821,0.74,1,60,233.1
S00006,15,organic,middle,2,3.1,0.704,4.77,1,95,1502.55
S00007,29,referral,elementary,1,2.8,0.831,1.0,0,60,315.0
S00008,10,referral,high,1,1.0,0.85,12.54,1,60,3950.1
S00009,12,paid,high,1,1.8,0.815,0.98,1,495,308.7
S00010,22,organic,high,1,0.9,0.88,2.51,1,95,790.65
S00011,24,organic,high,1,2.2,0.916,2.29,1,95,721.35
S00012,24,organic,high,1,0.9,0.916,6.0,0,95,1890.0
S00013,17,paid,elementary,1,2.5,0.685,2.83,1,495,891.45
S00014,15,paid,high,1,2.0,0.825,15.0,0,495,4725.0
S00015,23,paid,middle,1,2.6,0.865,3.23,1,495,1017.45
S00016,5,walk_in,middle,1,1.6,0.807,0.5,1,45,157.5
S00017,25,referral,middle,2,0.4,1.0,5.0,0,60,1575.0
S00018,23,paid,elementary,2,3.3,0.887,7.0,0,495,2205.0
S00019,19,walk_in,middle,2,1.5,0.774,2.13,1,45,670.95
S00020,28,organic,middle,1,2.9,0.835,2.0,0,95,630.0
S00021,10,organic,middle,2,2.1,1.0,8.2,1,95,2583.0
S00022,16,paid,high,1,2.3,0.998,0.73,1,495,229.95
S00023,17,organic,high,2,3.3,0.795,5.91,1,95,1861.65
S00024,9,organic,high,2,2.0,0.959,2.78,1,95,875.7
S00025,23,paid,college,1,3.0,0.721,7.0,0,495,2205.0
S00026,24,paid,elementary,1,0.4,0.753,1.62,1,495,510.3
S00027,24,walk_in,middle,2,2.5,0.898,6.0,0,45,1890.0
S00028,26,paid,elementary,1,1.5,0.89,4.0,0,495,1260.0
S00029,18,paid,middle,1,1.6,0.915,1.14,1,495,359.1
S00030,18,paid,college,1,1.7,0.851,11.28,1,495,3553.2
S00031,13,organic,elementary,1,2.0,0.876,17.0,0,95,5355.0
S00032,15,organic,high,2,3.2,0.75,15.0,0,95,4725.0
S00033,2,organic,high,2,0.0,1.0,28.0,0,95,8820.0
S00034,20,referral,middle,2,1.7,0.965,10.0,0,60,3150.0
S00035,3,organic,high,1,1.1,0.874,1.0,1,95,315.0
S00036,13,organic,middle,1,2.7,0.898,0.51,1,95,160.65
S00037,19,organic,middle,1,1.3,0.677,9.1,1,95,2866.5
S00038,15,referral,middle,1,2.1,0.749,15.0,0,60,4725.0
S00039,11,organic,elementary,1,1.3,1.0,9.96,1,95,3137.4
S00040,27,organic,elementary,2,2.3,1.0,3.0,0,95,945.0
S00041,20,walk_in,elementary,2,2.6,0.861,10.0,0,45,3150.0
S00042,13,paid,college,1,1.3,0.86,7.6,1,495,2394.0
S00043,15,referral,middle,2,1.7,0.734,8.28,1,60,2608.2
S00044,10,paid,elementary,1,0.4,0.952,0.5,1,495,157.5
S00045,11,referral,college,2,2.0,0.946,0.89,1,60,280.35
S00046,9,organic,elementary,2,2.5,0.675,21.0,0,95,6615.0
S00047,6,paid,college,2,1.2,0.957,6.55,1,495,2063.25
S00048,7,paid,high,2,2.7,0.882,23.0,0,495,7245.0
S00049,25,referral,middle,2,0.0,0.998,5.0,0,60,1575.0
S00050,29,organic,middle,1,0.0,0.806,1.0,0,95,315.0
S00051,8,paid,elementary,1,0.5,0.967,22.0,0,495,6930.0
S00052,27,organic,elementary,2,1.3,0.727,3.0,0,95,945.0
S00053,18,paid,elementary,1,1.7,1.0,9.76,1,495,3074.4
S00054,26,organic,middle,1,1.6,0.873,4.0,0,95,1260.0
S00055,3,organic,middle,1,1.6,0.73,21.91,1,95,6901.65
S00056,0,referral,high,1,2.4,0.97,19.76,1,60,6224.4
S00057,28,organic,middle,1,1.3,0.998,0.5,1,95,157.5
S00058,20,walk_in,college,1,0.6,0.831,0.5,1,45,157.5
S00059,4,paid,high,1,0.6,1.0,15.98,1,495,5033.7
S00060,11,paid,elementary,1,3.6,0.658,19.0,0,495,5985.0
S00061,15,paid,middle,2,0.0,0.984,15.0,0,495,4725.0
S00062,2,paid,elementary,1,1.5,0.993,2.99,1,495,941.85
S00063,24,organic,elementary,1,3.0,0.545,6.0,0,95,1890.0
S00064,0,paid,college,2,2.1,0.966,22.22,1,495,6999.3
S00065,6,organic,middle,1,1.0,0.878,3.91,1,95,1231.65
S00066,10,paid,elementary,1,1.7,0.852,3.38,1,495,1064.7
S00067,19,organic,elementary,1,2.5,0.699,0.5,1,95,157.5
S00068,4,walk_in,high,1,2.8,0.84,9.28,1,45,2923.2
S00069,12,organic,middle,1,0.9,0.767,18.0,0,95,5670.0
S00070,17,paid,elementary,1,2.4,0.715,8.71,1,495,2743.65
S00071,28,organic,high,2,1.9,0.815,2.0,0,95,630.0
S00072,11,referral,elementary,1,2.7,0.673,4.98,1,60,1568.7
S00073,4,paid,high,1,3.0,0.968,5.24,1,495,1650.6
S00074,2,organic,middle,1,1.4,0.721,0.93,1,95,292.95
S00075,5,referral,middle,2,0.4,0.849,10.43,1,60,3285.45
S00076,11,walk_in,middle,1,2.1,0.801,8.47,1,45,2668.05
S00077,16,walk_in,high,1,3.3,0.782,8.77,1,45,2762.55
S00078,16,paid,college,1,2.3,0.914,3.78,1,495,1190.7
S00079,20,organic,high,2,1.9,0.955,1.91,1,95,601.65
S00080,22,organic,elementary,1,3.9,0.721,3.59,1,95,1130.85
S00081,17,walk_in,middle,1,0.8,0.852,4.75,1,45,1496.25
S00082,2,paid,elementary,1,2.5,0.821,0.89,1,495,280.35
S00083,5,organic,elementary,2,1.2,0.986,25.0,0,95,7875.0
S00084,26,walk_in,elementary,2,1.7,0.95,4.0,0,45,1260.0
S00085,14,paid,elementary,1,1.8,0.792,14.7,1,495,4630.5
S00086,16,paid,college,2,3.1,0.584,13.84,1,495,4359.6
S00087,1,organic,high,2,0.9,1.0,29.0,0,95,9135.0
S00088,28,paid,high,1,1.2,0.981,2.0,0,495,630.0
S00089,20,organic,high,2,0.3,0.965,10.0,0,95,3150.0
S00090,10,organic,middle,1,2.1,0.873,12.95,1,95,4079.25
S00091,9,referral,middle,2,1.3,0.834,18.47,1,60,5818.05
S00092,2,paid,middle,1,2.1,0.725,11.87,1,495,3739.05
S00093,28,paid,elementary,1,0.7,0.862,1.13,1,495,355.95
S00094,28,organic,middle,1,1.4,0.843,2.0,0,95,630.0
S00095,12,referral,high,2,2.6,0.764,18.0,0,60,5670.0
S00096,27,organic,elementary,2,1.5,0.722,3.0,0,95,945.0
S00097,1,organic,elementary,1,2.3,0.792,5.66,1,95,1782.9
S00098,18,organic,middle,1,2.2,0.894,3.56,1,95,1121.4
S00099,0,organic,high,1,1.4,0.813,9.79,1,95,3083.85
S00100,27,walk_in,middle,1,0.3,0.919,3.0,0,45,945.0
S00101,9,paid,high,2,2.6,0.605,1.82,1,495,573.3
S00102,26,paid,elementary,2,1.9,0.842,4.0,0,495,1260.0
S00103,7,paid,elementary,1,2.6,0.8,6.13,1,495,1930.95
S00104,0,referral,elementary,1,0.0,0.795,6.77,1,60,2132.55
S00105,28,organic,elementary,2,0.2,0.751,2.0,0,95,630.0
S00106,14,paid,high,1,0.0,0.975,3.59,1,495,1130.85
S00107,23,paid,college,2,0.9,0.82,1.75,1,495,551.25
S00108,16,organic,high,2,2.6,0.887,14.0,0,95,4410.0
S00109,11,paid,elementary,1,2.2,0.785,4.94,1,495,1556.1
